"No.","Time","Source","Destination","Protocol","Length","Info"
"2347","4942.285074466","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=65324 Ack=29521 Win=64240 Len=0"
"2348","4942.706253785","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2349","4942.706335661","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=29521 Ack=65416 Win=65535 Len=0"
"2369","4996.471203960","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2370","4996.471242233","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=29521 Ack=65851 Win=65535 Len=0"
"2373","5039.903240777","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2374","5039.904315434","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=65851 Ack=29767 Win=64240 Len=0"
"2375","5040.311729575","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2376","5040.311805340","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=29767 Ack=65943 Win=65535 Len=0"
"2377","5056.473098135","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2378","5056.473164922","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=29767 Ack=66378 Win=65535 Len=0"
"2383","5104.198352084","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2384","5104.199580074","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=66378 Ack=30013 Win=64240 Len=0"
"2386","5105.475130760","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2387","5105.475259417","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30013 Ack=66470 Win=65535 Len=0"
"2399","5116.621950508","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2400","5116.622001285","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30013 Ack=66905 Win=65535 Len=0"
"2401","5136.967675748","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2402","5136.968869267","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=66905 Ack=30259 Win=64240 Len=0"
"2403","5137.373321234","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2404","5137.373395537","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30259 Ack=66997 Win=65535 Len=0"
"2405","5144.265202263","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2406","5144.265279130","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30259 Ack=67432 Win=65535 Len=0"
"2407","5176.793299109","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2408","5176.793384042","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30259 Ack=67867 Win=65535 Len=0"
"2409","5182.779809704","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2410","5182.779872704","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30259 Ack=68302 Win=65535 Len=0"
"2413","5206.441760046","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2414","5206.442668339","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=68302 Ack=30505 Win=64240 Len=0"
"2415","5206.835805330","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2416","5206.835885844","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30505 Ack=68394 Win=65535 Len=0"
"2427","5230.196436563","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2428","5230.197407952","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=68394 Ack=30751 Win=64240 Len=0"
"2429","5230.594953446","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2430","5230.595023099","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30751 Ack=68486 Win=65535 Len=0"
"2437","5236.970066061","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2438","5236.970146875","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30751 Ack=68921 Win=65535 Len=0"
"2439","5254.724137568","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2440","5254.724194246","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30751 Ack=69356 Win=65535 Len=0"
"2445","5293.124303665","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2446","5293.125412187","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=69356 Ack=30997 Win=64240 Len=0"
"2447","5293.525028574","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2448","5293.525141831","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30997 Ack=69448 Win=65535 Len=0"
"2451","5297.153657760","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2452","5297.153699069","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=30997 Ack=69883 Win=65535 Len=0"
"2453","5318.677861813","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2454","5318.679119980","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=69883 Ack=31243 Win=64240 Len=0"
"2455","5319.850270307","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2456","5319.850361261","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=31243 Ack=69975 Win=65535 Len=0"
"2469","5352.281792296","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2470","5352.282616833","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=69975 Ack=31489 Win=64240 Len=0"
"2472","5353.284405721","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2473","5353.284483540","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=31489 Ack=70067 Win=65535 Len=0"
"2477","5357.369899401","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2478","5357.369951059","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=31489 Ack=70502 Win=65535 Len=0"
"2479","5359.762113737","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2480","5359.763170508","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=70502 Ack=31735 Win=64240 Len=0"
"2481","5361.609434727","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2482","5361.609514871","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=31735 Ack=70594 Win=65535 Len=0"
"2483","5366.971294946","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2484","5366.972412830","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=70594 Ack=31981 Win=64240 Len=0"
"2485","5367.685947981","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2486","5367.686025499","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=31981 Ack=70686 Win=65535 Len=0"
"2487","5398.207380410","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2488","5398.208603963","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=70686 Ack=32227 Win=64240 Len=0"
"2489","5400.009679801","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2490","5400.009756478","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=32227 Ack=70778 Win=65535 Len=0"
"2498","5410.466969093","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2499","5410.468198014","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=70778 Ack=32473 Win=64240 Len=0"
"2500","5410.920059488","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2501","5410.920132978","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=32473 Ack=70870 Win=65535 Len=0"
"2509","5417.608237775","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2510","5417.608282500","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=32473 Ack=71305 Win=65535 Len=0"
"2521","5478.962389960","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2522","5478.962441448","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=32473 Ack=71740 Win=65535 Len=0"
"2525","5508.711326219","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
