"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.959678302","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"3","0.959715814","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1 Ack=436 Win=62905 Len=0"
"11","61.200216195","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"12","61.200287181","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1 Ack=871 Win=62905 Len=0"
"18","105.601705047","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"19","105.601752517","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1 Ack=1306 Win=62905 Len=0"
"23","111.274017428","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"24","111.275202842","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=1306 Ack=247 Win=64240 Len=0"
"25","111.759934513","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"26","111.759985681","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=247 Ack=1398 Win=62905 Len=0"
"36","121.434501791","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"37","121.434580311","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=247 Ack=1833 Win=62905 Len=0"
"44","133.393477573","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"45","133.394365136","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=1833 Ack=493 Win=64240 Len=0"
"46","133.817635507","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"47","133.817685482","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=493 Ack=1925 Win=62905 Len=0"
"60","181.525944199","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"61","181.526026717","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=493 Ack=2360 Win=62905 Len=0"
"67","228.481617489","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"68","228.482696679","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=2360 Ack=739 Win=64240 Len=0"
"69","228.965624341","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"70","228.965673415","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=739 Ack=2452 Win=62905 Len=0"
"74","232.991625605","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"75","232.992702501","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=2452 Ack=985 Win=64240 Len=0"
"78","234.646725073","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"79","234.646796340","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=985 Ack=2544 Win=62905 Len=0"
"87","241.716014638","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"88","241.716062700","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=985 Ack=2979 Win=62905 Len=0"
"95","251.273832491","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"96","251.274724278","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=2979 Ack=1231 Win=64240 Len=0"
"97","252.247051370","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"98","252.247103620","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1231 Ack=3071 Win=62905 Len=0"
"99","281.048610490","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"100","281.048734558","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1231 Ack=3506 Win=62905 Len=0"
"101","282.158463800","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"102","282.159515758","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=3506 Ack=1477 Win=64240 Len=0"
"103","282.575232781","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"104","282.575303938","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1477 Ack=3598 Win=62905 Len=0"
"105","296.888611994","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"106","296.889438952","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=3598 Ack=1723 Win=64240 Len=0"
"107","297.370300486","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"108","297.370350602","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1723 Ack=3690 Win=62905 Len=0"
"109","302.172947837","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"110","302.173048650","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1723 Ack=4125 Win=62905 Len=0"
"111","309.938186563","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"112","309.938261416","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1723 Ack=4560 Win=62905 Len=0"
"113","340.898191290","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"114","340.899399993","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=4560 Ack=1969 Win=64240 Len=0"
"115","341.363463135","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"116","341.363514574","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1969 Ack=4652 Win=62905 Len=0"
"128","362.334960835","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"129","362.335056508","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1969 Ack=5087 Win=62905 Len=0"
"135","373.024290536","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"136","373.024408653","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1969 Ack=5522 Win=62905 Len=0"
"140","422.270421968","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"141","422.270462625","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1969 Ack=5957 Win=62905 Len=0"
"145","471.533158099","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"146","471.534572452","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=5957 Ack=2215 Win=64240 Len=0"
"147","472.098882092","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"148","472.098937488","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=2215 Ack=6049 Win=62905 Len=0"
"159","482.658116635","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"160","482.658181970","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=2215 Ack=6484 Win=62905 Len=0"
"170","501.295579555","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"171","501.296790768","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=6484 Ack=2461 Win=64240 Len=0"
"172","503.140705480","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"173","503.140801193","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=2461 Ack=6576 Win=62905 Len=0"
"174","509.593698166","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"175","509.594966152","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=6576 Ack=2707 Win=64240 Len=0"
"176","510.182438592","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"177","510.182488688","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=2707 Ack=6668 Win=62905 Len=0"
"178","524.947493016","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"179","524.948833796","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=6668 Ack=2953 Win=64240 Len=0"
"180","525.547897511","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"181","525.547944902","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=2953 Ack=6760 Win=62905 Len=0"
"182","542.822303213","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"183","542.822394007","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=2953 Ack=7195 Win=62905 Len=0"
"184","568.349095231","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"185","568.350117959","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=7195 Ack=3199 Win=64240 Len=0"
"186","569.062208654","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"187","569.062315920","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=3199 Ack=7287 Win=62905 Len=0"
"188","577.146287419","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"189","577.147453485","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=7287 Ack=3445 Win=64240 Len=0"
"190","577.703687977","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"191","577.703767729","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=3445 Ack=7379 Win=62905 Len=0"
"194","593.261266439","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"195","593.262400990","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=7379 Ack=3691 Win=64240 Len=0"
"196","593.705990742","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"197","593.706033915","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=3691 Ack=7471 Win=62905 Len=0"
"202","597.543875242","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"203","597.543986225","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=3691 Ack=7906 Win=62905 Len=0"
"209","602.893758637","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"210","602.893840644","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=3691 Ack=8341 Win=62905 Len=0"
"216","612.491647254","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"217","612.491721776","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=3691 Ack=8776 Win=62905 Len=0"
"218","617.063707988","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"219","617.063762934","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=3691 Ack=9211 Win=62905 Len=0"
"220","648.403932727","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"221","648.404881373","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=9211 Ack=3937 Win=64240 Len=0"
"222","649.068275094","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"223","649.068355368","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=3937 Ack=9303 Win=62905 Len=0"
"225","663.949731945","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"226","663.949803321","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=3937 Ack=9738 Win=62905 Len=0"
"227","669.912075419","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"228","669.912964831","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=9738 Ack=4183 Win=64240 Len=0"
"229","670.506589505","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"230","670.506682353","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=4183 Ack=9830 Win=62905 Len=0"
"246","724.110582072","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"247","724.110681753","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=4183 Ack=10265 Win=62905 Len=0"
"251","727.216621924","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"252","727.217517703","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=10265 Ack=4429 Win=64240 Len=0"
"253","727.796492218","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"254","727.796610384","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=4429 Ack=10357 Win=62905 Len=0"
"255","762.450895142","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"256","762.452339722","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=10357 Ack=4675 Win=64240 Len=0"
"257","762.991180146","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"258","762.991275819","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=4675 Ack=10449 Win=62905 Len=0"
"259","779.898214622","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"260","779.899575277","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=10449 Ack=4921 Win=64240 Len=0"
"261","780.591555522","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"262","780.591658399","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=4921 Ack=10541 Win=62905 Len=0"
"263","784.348769572","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"264","784.348815189","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=4921 Ack=10976 Win=62905 Len=0"
"265","790.387234901","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"266","790.388536903","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=10976 Ack=5167 Win=64240 Len=0"
"267","791.792799882","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"268","791.792869866","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=5167 Ack=11068 Win=62905 Len=0"
"269","796.214451566","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"270","796.215510752","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=11068 Ack=5413 Win=64240 Len=0"
"271","797.551893450","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"272","797.551991046","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=5413 Ack=11160 Win=62905 Len=0"
"273","815.797610450","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"274","815.798513975","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=11160 Ack=5659 Win=64240 Len=0"
"275","817.089644896","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"276","817.089727143","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=5659 Ack=11252 Win=62905 Len=0"
"289","843.635167733","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"290","843.635238969","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=5659 Ack=11687 Win=62905 Len=0"
"313","903.797743818","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"314","903.797792992","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=5659 Ack=12122 Win=62905 Len=0"
"321","910.343975350","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"322","910.344990113","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=12122 Ack=5905 Win=64240 Len=0"
"323","910.821246683","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"324","910.821357205","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=5905 Ack=12214 Win=62905 Len=0"
"325","962.675715815","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"326","962.676850211","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=12214 Ack=6151 Win=64240 Len=0"
"327","963.066947208","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"328","963.067025117","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=6151 Ack=12306 Win=62905 Len=0"
"329","963.781813807","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"330","963.781867580","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=6151 Ack=12741 Win=62905 Len=0"
"331","970.139470747","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"332","970.140401008","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=12741 Ack=6397 Win=64240 Len=0"
"333","970.558673126","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"334","970.558780422","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=6397 Ack=12833 Win=62905 Len=0"
"336","1007.493833455","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"337","1007.493884943","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=6397 Ack=13268 Win=62905 Len=0"
"339","1012.651081409","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"340","1012.652148521","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=13268 Ack=6643 Win=64240 Len=0"
"341","1013.036079988","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"342","1013.036134282","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=6643 Ack=13360 Win=62905 Len=0"
"351","1019.010043638","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"352","1019.010094536","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=6643 Ack=13795 Win=62905 Len=0"
"361","1024.752864235","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"362","1024.752909451","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=6643 Ack=14230 Win=62905 Len=0"
"366","1055.468409363","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"367","1055.469399086","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=14230 Ack=6889 Win=64240 Len=0"
"368","1055.865783011","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"369","1055.865848136","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=6889 Ack=14322 Win=62905 Len=0"
"370","1064.082003347","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"371","1064.082078019","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=6889 Ack=14757 Win=62905 Len=0"
"372","1084.093427937","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"373","1084.093480998","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=6889 Ack=15192 Win=62905 Len=0"
"374","1101.938330613","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"375","1101.939521797","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=15192 Ack=7135 Win=64240 Len=0"
"376","1102.329025855","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"377","1102.329087693","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=7135 Ack=15284 Win=62905 Len=0"
"378","1109.727620542","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"379","1109.728590203","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=15284 Ack=7381 Win=64240 Len=0"
"380","1110.111909362","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"381","1110.111981611","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=7381 Ack=15376 Win=62905 Len=0"
"395","1144.281241387","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"396","1144.281301662","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=7381 Ack=15811 Win=62905 Len=0"
"400","1148.923482974","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"401","1148.924481110","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=15811 Ack=7627 Win=64240 Len=0"
"402","1149.311431269","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"403","1149.311507525","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=7627 Ack=15903 Win=62905 Len=0"
"404","1204.611863428","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"405","1204.611906110","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=7627 Ack=16338 Win=62905 Len=0"
"408","1242.487159981","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"409","1242.488146069","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=16338 Ack=7873 Win=64240 Len=0"
"410","1243.012637084","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"411","1243.012711286","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=7873 Ack=16430 Win=62905 Len=0"
"429","1264.630062785","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"430","1264.630112390","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=7873 Ack=16865 Win=62905 Len=0"
"436","1324.938402735","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"437","1324.938451418","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=7873 Ack=17300 Win=62905 Len=0"
"438","1325.668782260","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"439","1325.669647367","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=17300 Ack=8119 Win=64240 Len=0"
"440","1326.223743419","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"441","1326.223838210","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=8119 Ack=17392 Win=62905 Len=0"
"459","1385.019407104","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"460","1385.019458302","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=8119 Ack=17827 Win=62905 Len=0"
"463","1390.543292680","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"464","1390.543346723","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=8119 Ack=18262 Win=62905 Len=0"
"465","1394.621488166","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"466","1394.621550695","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=8119 Ack=18697 Win=62905 Len=0"
"467","1445.183790049","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"468","1445.183841828","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=8119 Ack=19132 Win=62905 Len=0"
"471","1458.307883664","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"472","1458.309166780","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=19132 Ack=8365 Win=64240 Len=0"
"473","1459.022557274","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"474","1459.022651264","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=8365 Ack=19224 Win=62905 Len=0"
"475","1470.551785213","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"476","1470.551832553","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=8365 Ack=19659 Win=62905 Len=0"
"477","1482.628823157","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"478","1482.629902763","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=19659 Ack=8611 Win=64240 Len=0"
"479","1484.307891217","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"480","1484.307966982","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=8611 Ack=19751 Win=62905 Len=0"
"489","1499.706704525","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"490","1499.707921916","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=19751 Ack=8857 Win=64240 Len=0"
"492","1500.308508901","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"493","1500.308589095","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=8857 Ack=19843 Win=62905 Len=0"
"500","1506.546614488","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"501","1506.546681346","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=8857 Ack=20278 Win=62905 Len=0"
"503","1515.191077550","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"504","1515.192228848","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=20278 Ack=9103 Win=64240 Len=0"
"505","1515.681165051","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"506","1515.681244373","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=9103 Ack=20370 Win=62905 Len=0"
"507","1540.403978498","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"508","1540.405138933","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=20370 Ack=9349 Win=64240 Len=0"
"509","1540.952788593","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"510","1540.952908883","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=9349 Ack=20462 Win=62905 Len=0"
"511","1553.954802050","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"512","1553.955936772","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=20462 Ack=9595 Win=64240 Len=0"
"513","1554.386958207","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"514","1554.387025095","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=9595 Ack=20554 Win=62905 Len=0"
"515","1565.482577107","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"516","1565.483621236","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=20554 Ack=9841 Win=64240 Len=0"
"517","1565.536542918","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"518","1565.536595498","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=9841 Ack=20989 Win=62905 Len=0"
"519","1566.228903916","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"520","1566.228975704","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=9841 Ack=21081 Win=62905 Len=0"
"537","1625.752192674","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"538","1625.752242289","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=9841 Ack=21516 Win=62905 Len=0"
"543","1640.291036752","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"544","1640.292018501","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=21516 Ack=10087 Win=64240 Len=0"
"545","1641.111357699","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"546","1641.111423715","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=10087 Ack=21608 Win=62905 Len=0"
"547","1685.914587419","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"548","1685.914641512","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=10087 Ack=22043 Win=62905 Len=0"
"551","1691.994596897","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"552","1691.994647013","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=10087 Ack=22478 Win=62905 Len=0"
